ID,FAMILY,SEX,LSB,LSW,COHORT,area1,area6,area2,area3,area4,area5,area7,A1,A2,A3,A4,A5
584,7,F,8,8,1,0.6488995747,1.017337817,5.17580841000904,5.11660475885365,12.3046102521672,9.9849951424917,1.0936237246756,-1,1,-1,1,1
586,8,M,9,8,1,0.5147449767,1.0170846567,5.73494451450904,5.17612344245365,11.7711543134672,10.1389321970917,1.0933705643756,-1,1,0,1,0
587,8,F,9,8,1,0.5234395384,0.8362480288,4.431352511,4.5580966507,11.2384467072,9.3133065346,0.8362480288,1,1,0,0,0
588,8,M,9,9,1,0.4949729619,0.9388018699,5.2098484234,5.3789982212,11.8780563171,9.4137738784,0.9388018699,0,0,0,0,0
589,8,F,9,9,1,0.4422474109,0.9502623653,4.6759118435,4.8208874818,11.2660285667,9.5369436119,0.9502623653,0,1,0,0,0
590,7,M,8,9,1,0.5884058136,0.9169843807,6.34965290720904,5.14685672245365,11.5332326244672,10.1056108902917,0.993270288375603,-1,0,1,1,0
591,8,F,9,9,1,0.5122022497,1.0325681754,5.10650635130904,4.92822639225365,11.6897038693672,10.1003931468917,1.1088540830756,-1,1,0,1,0
592,7,F,8,9,1,0.559463205,0.8968291069,4.8854256811,4.3448479869,10.956577222,9.0772058162,0.8968291069,0,0,0,0,-1
593,8,M,9,9,1,0.5998977575,1.0996785344,5.45495741660904,5.36606190195365,11.8757575879672,9.9551062374917,1.1759644420756,0,0,0,1,0
594,8,F,9,9,1,0.6436777334,0.9548561435,4.77739185540904,4.12376558995365,10.3973860201672,9.3277471538917,1.0311420511756,0,1,0,1,0
595,7,F,8,9,1,0.5419515319,0.9202361752,4.99008109090904,4.95759172225365,12.0320536872672,9.7281030563917,0.996522082875603,0,1,0,1,-1
596,7,M,8,9,1,0.5093611854,0.9543452168,5.9781778715,5.0099236674,11.9515822964,9.7014638136,0.9543452168,1,0,1,0,0
597,34,F,12,12,1,0.652962274,0.9893241188,5.28908777069096,4.69443950104635,10.8574765065328,9.5980443156083,0.913038211124397,0,0,1,-1,0
598,34,M,12,12,1,0.5079507902,1.051265021,5.2208973345,4.6978201407,10.0305578554,9.2225431028,1.051265021,1,-1,-1,0,0
599,39,F,10,12,1,0.574444032,1.1353758619,5.10103687450904,5.28269501625365,12.1720106152672,10.3411377038917,1.2116617695756,0,1,0,1,0
600,39,M,10,12,1,0.5777538342,1.0882457457,5.0975120308,4.8859807187,12.0217180868,10.1594091556,1.0882457457,0,1,0,0,1
601,39,F,10,12,1,0.5066296629,0.9210644947,4.369006189,4.9109511921,11.6118065415,9.4214965768,0.9210644947,0,1,0,0,0
602,34,M,12,12,1,0.4971463308,0.9619766769,5.40627291929096,4.61036381054635,10.4053722279328,9.3238656137083,0.885690769224397,-1,0,0,-1,1
603,39,F,10,12,1,0.4757003729,1.0781956819,5.0580528186,4.8635208291,11.1843028323,9.4888630804,1.0781956819,0,1,0,0,0
604,39,M,10,12,1,0.5671634194,1.2145542497,5.67022969399096,4.80176870034635,11.6783749787328,9.6174685945083,1.1382683420244,0,1,0,-1,0
605,34,F,12,12,1,0.7327427085,1.2091528274,5.62908027140904,5.31323618265364,11.4534622817672,10.2105399301917,1.2854387350756,0,-1,0,1,-1
606,34,F,12,12,1,0.6311479202,1.1393791287,4.84909758389096,4.33667537624635,10.5886225148328,9.7396507828083,1.0630932210244,0,-1,-1,-1,-1
607,34,M,12,12,1,0.5114901835,1.0220793655,4.909939306,4.5024810651,10.5581006509,9.0633600691,1.0220793655,0,-1,-1,0,-1
608,34,M,12,12,1,0.4737555192,0.9441098439,5.06943594790904,4.69842062305365,10.4179400216672,9.4537446809917,1.0203957515756,0,-1,1,1,0
609,34,F,12,10,1,0.5897147465,0.8214382881,4.42716122569096,4.15868644914636,9.21378042653281,8.6901538448083,0.745152380424397,1,-1,0,-1,1
610,34,F,12,10,1,0.5137804836,1.0868664749,4.67150967110904,4.64568082305365,11.0746745149672,9.8415115424917,1.1631523825756,-1,-1,1,1,0
611,34,F,12,10,1,0.6954683029,0.9688776202,4.2798726368,4.4246529943,10.7886327138,9.3506561203,0.9688776202,1,0,1,0,1
612,39,F,10,10,1,0.6522955243,1.0694262594,4.47822920619096,4.67366637114635,11.2755175170328,10.0416206174083,0.993140351724397,0,1,0,-1,0
613,34,F,12,10,1,0.6823918168,0.9132172011,4.81215117960904,4.25966364475364,10.6719916986672,9.0938690722917,0.989503108775603,1,-1,0,1,-1
614,39,M,10,10,1,0.6206957874,0.9399956278,5.2692881645,4.8573945135,11.4400507018,9.9078741817,0.9399956278,0,1,0,0,0
615,39,F,10,10,1,0.6561837374,1.1852100781,5.50751434110904,4.83319298345365,12.2607946211672,10.2862714096917,1.2614959857756,0,1,0,1,-1
616,39,M,10,10,1,0.4550738408,1.1205861067,5.1879513125,5.0606125855,11.4760935288,9.7353557183,1.1205861067,0,1,0,0,0
617,39,F,10,10,1,0.6531956567,1.1710435011,5.0721297151,4.7361885111,12.4516701434,10.0642084568,1.1710435011,0,1,0,0,-1
618,34,M,12,10,1,0.5520960944,0.7206911375,4.4109350253,4.0688562526,9.6240151101,8.9849834374,0.7206911375,0,-1,0,0,0
