ID,FAMILY,SEX,LSB,LSW,COHORT,area1,area6,area2,area3,area4,area5,area7
513,24,F,7,7,1,0.6684973989,1.0589153339,4.8565967756,4.7731366689,11.2630580079,9.4508569385,5.8873826856
514,12,F,11,11,1,0.5343178957,1.0848303546,5.5921160557,4.7002036002,11.2263110719,9.5413636696,5.4569581564
515,24,F,7,11,1,0.4356572307,0.9521727726,4.3244326554,5.1237535146,11.4067053356,9.99418576531957,5.68879560995366
516,24,F,7,11,1,0.4712823016,0.7244434713,4.50924158030243,3.89624127327825,9.25015762677897,8.42699499568132,4.99702104301957
517,24,M,7,11,1,0.3293059672,0.8407668016,3.94836758163664,3.72786115456685,9.69898043626819,9.00323044086175,5.18188684436591
518,12,F,11,11,1,0.580376289,0.9163812276,4.7519850266,4.5137388785,10.1149192244,9.53852549371957,5.51286657185366
519,24,M,7,11,1,0.4503484766,1.0398486604,5.82244645103664,4.56939703016685,10.6590396032682,10.2548760224813,5.76585506881957
520,12,M,11,11,1,0.4580069695,1.0264445175,5.86476175466336,4.52711780953315,10.2342189522318,9.37152923431868,5.29804025238043
521,12,F,11,11,1,0.5014226191,0.8762174335,4.46170216909757,4.70349469502175,10.521481148821,9.42512828091868,5.12991792388043
522,12,F,11,11,1,0.5307205411,0.7854584776,4.69674777409757,4.73187438272175,11.047427221221,9.84674199813825,5.28129153383409
523,12,F,11,11,1,0.5500810567,0.9968513712,5.50409798986336,5.45873769293315,12.5101645876318,10.8196296403382,5.78579152663409
525,58,M,5,10,1,0.4659600632,1.0184012641,5.98270043160243,5.32894375227825,11.261885734579,9.97219907638132,5.88296921701957
526,52,M,10,10,1,0.5854892225,0.9591102263,5.53197556663421,4.7376748356886,11.0106123914892,9.79815815891957,5.60735496365366
528,52,F,10,10,1,0.5599365372,0.9244864111,4.98914707436579,4.6983373250114,11.7700331676108,9.91517853241957,5.41127913635366
530,58,M,5,10,1,0.5768854819,1.1344367451,6.71092613920243,5.38841345457825,12.406577771879,10.0552105630813,6.05105597171957
532,58,M,5,10,1,0.6112501041,1.0048023668,5.61835307080243,5.34552840877825,11.389434073979,10.2249607104813,5.71592192891957
533,52,M,10,10,1,0.5644397493,0.8779188166,5.6794999651,5.2156860748,11.4564941338,10.087521297,5.8841642562
534,52,M,10,10,1,0.5893885592,0.9330328846,5.40181897216336,4.58058574983315,10.8296251376318,9.85901700995782,5.83793047438775
535,58,F,5,5,1,0.6124288334,1.0169217388,5.42092948656579,5.0316609328114,12.3531508505108,10.5580580714196,5.63991297225366
536,52,F,10,5,1,0.5883114219,0.9709281671,5.9597960226,5.0249892692,12.097336705,10.2480443682196,5.75602447945366
538,52,F,10,5,1,0.5816736009,1.0704544259,5.87042014506579,5.9791205911114,12.8542789267108,10.9790824662196,5.62170101455366
539,58,M,5,5,1,0.567948073,0.9413067185,5.43724080046579,5.3630703848114,12.8946399381108,10.4883673854196,6.01032445435366
540,18,M,10,10,1,0.7170310561,0.927570646,4.20616317453421,4.5231508658886,9.92948603658922,9.4401828723,4.8009729513
541,18,M,10,10,1,0.5055746887,0.8637963589,5.31609279406579,4.9769941995114,10.9354889133108,8.90890631258043,5.17617219414634
542,18,F,10,10,1,0.6294430571,0.823363343,4.56984984233664,4.85782073866685,10.3091763495682,8.25596781574218,5.35604911591225
543,18,M,10,10,1,0.7069109908,0.9382150941,5.74029850923664,5.12011313616685,10.8426791354682,9.24557208504218,5.28937459321225
544,18,F,10,10,1,0.6289751402,0.9383437464,5.4071169778,5.1915601334,11.2869235015,10.4047498424,5.7841971378
545,18,M,10,10,1,0.5401216794,0.8417756618,5.5981199177,5.4088072632,10.6793582559,8.24646648338043,5.44341930644634
546,18,F,10,10,1,0.4346793046,1.030897849,4.02785645543664,4.77961311876685,10.3091617049682,9.27521843164218,5.46714631571225
547,18,F,10,10,1,0.6126975912,0.8216374646,5.176906036,4.4441607802,10.1274000101,8.20489245788043,5.04756504854634
548,18,F,10,10,1,0.5035580944,0.7696040612,4.57018123353664,4.16864777836685,9.79033175626819,8.46359419546175,4.78137413536591
549,18,M,10,10,1,0.4425335174,0.9012919428,5.3870062276,4.5236808945,9.8571440027,8.8111010431,5.1818920779
550,38,M,9,10,1,0.6997900276,0.9585396371,7.20195522706336,5.52214719583315,11.4816727383318,10.1672912812382,5.76291159893409
551,38,F,9,10,1,0.5219512553,0.7346924307,4.91319086423421,4.2362476008886,10.4782083907892,8.9160512975,5.2323688794
553,38,F,9,10,1,0.5490280405,1.0007768909,5.4759381039,4.7967103859,10.8786078722,9.392930562,5.6863432835
554,38,F,9,10,1,0.6492130896,1.0647567216,5.87501329089758,6.42885627722175,13.076954957621,10.5434597829382,6.43450700413409
555,3,F,10,10,1,0.7905027395,0.9916224148,4.41530786823664,4.06231472006685,11.0032148296682,8.91720603754218,5.31284311891225
556,3,M,10,10,1,0.4618513514,1.1268171722,5.3381301771,5.0077269525,12.0681289134,9.85158775438043,5.91836756504634
557,3,M,10,10,1,0.4846627632,0.9146803491,4.7925557509,4.8480420967,11.7163432909,9.3533358782,5.4194312773
558,3,M,10,10,1,0.6432006151,1.2348605559,6.4700839989,5.6863184593,12.4368243549,10.2017974369804,5.73848109114634
559,3,F,10,10,1,0.6016502391,1.0567968902,4.73814907433664,5.10506206096685,12.1570859549682,9.28078392716175,5.58183548806591
560,3,M,10,9,1,0.5421916621,0.8982546661,5.7479740864,5.1275205435,11.6077813587,9.3682893882,5.4199685277
561,3,F,10,9,1,0.6039546091,0.9901868848,5.22273184433664,4.52453988386685,11.5115581934682,9.33751460074218,5.40118226721225
562,3,M,10,9,1,0.5463310879,0.8823824043,5.47419446503664,4.44711998466685,11.2877460399682,9.14718256176175,5.61757089366591
563,3,M,10,9,1,0.4944131327,0.9703826771,5.5583952091,4.6601892321,11.1650228802,9.69553093978043,5.14134115654634
565,38,F,9,9,1,0.5551944227,1.0157084323,6.06828411466336,5.62151389353315,12.4695401022318,10.6548473908382,5.76772521983409
566,38,M,9,9,1,0.5533188546,1.2014846645,6.0830951736,5.2174825383,12.3159388604,10.5389417170196,6.02900883625366
567,38,M,9,9,1,0.4492397113,1.0090574019,5.8349405269,5.2750186725,11.6682654782,9.81947996551957,5.66085096435366
569,51,F,6,5,1,0.4704808185,1.1359958841,6.33365526436336,6.06158273743315,12.9903889372318,10.2871388732187,6.01178889878043
570,51,F,6,5,1,0.6484499337,1.0577983989,5.32272194489757,4.94670777752175,12.528370154521,10.3851061519187,5.78533067058043
571,51,M,6,5,1,0.6169513294,1.0001154415,6.09130909726336,5.46752313263315,12.1242459923318,10.1162693761383,5.87651359743409
572,15,F,5,5,1,0.6141412102,1.0605950982,5.19537250659758,5.26787927902175,12.114826575721,10.3153148453578,6.56492921068775
573,15,F,5,5,1,0.5926770241,0.908707156,4.22313483193664,4.56409896206685,10.5515622071682,9.47109146258132,5.68853443131957
574,15,F,5,6,1,0.5621143339,0.9644904579,4.88426353427085,4.73692961985545,11.6388222264574,9.56949500406175,5.35974607016591
575,51,M,6,6,1,0.8055480403,1.3190589071,6.69045788256336,6.33022668563315,12.8327033479318,11.3035266574382,6.13486462763409
576,51,M,6,6,1,0.5362600388,1.2162042218,6.47161893776336,5.57654150633315,12.9827645133318,11.1436522526382,6.15013595483409
577,51,F,6,6,1,0.537695384,0.8774972016,5.11644167746336,4.73080977613315,11.4741315327318,9.28186804981868,5.82702559028043
578,15,M,5,6,1,0.592143407,0.7470502444,5.77052477183421,4.6413350055886,11.5579038448892,10.1208708137196,6.29272516605366
579,15,F,5,6,1,0.5064834756,0.8883525669,5.17341356526579,4.2679599312114,11.6149177049108,9.28574420161957,6.03650345855366
580,8,M,9,8,1,0.5398995869,0.8483584644,5.65441337892915,4.84409599904455,11.9214778127426,9.73336617583825,5.78105873663409
581,7,F,8,8,1,0.4821591735,1.1602097075,4.53461505986336,5.24936001733315,11.7368014595318,9.35488352633825,5.13598634353409
582,7,M,8,8,1,0.5414668519,1.0101141421,6.02373581933421,5.0083617159886,11.8512545331892,10.3125127726804,5.62674647694634
583,8,F,9,8,1,0.6140573645,0.8714556067,5.06662193886336,5.54682173633315,11.5419994652318,9.73629033693825,5.71041761653409
584,7,F,8,8,1,0.6488995747,1.017337817,5.45114538442915,5.31188631404455,12.6706233695426,9.86872384211868,5.47710124128043
586,8,M,9,8,1,0.5147449767,1.0170846567,6.01028148892915,5.37140499764455,12.1371674308426,10.2196455341382,5.64423772923409
